Year,Team,matches_total,wins_total,draws_total,losses_total,goals_for_total,goals_against_total,avg_attendance,away_matches,home_matches,away_wins,home_wins,away_avg_attendance,home_avg_attendance,win_attendance_avg,away_win_attendance_avg,home_win_attendance_avg,goal_balance_total,win_rate_total,home_win_rate,away_win_rate,home_away_win_rate_delta,attendance_win_minus_avg,home_away_win_attendance_delta,HostCountry,Winner,QualifiedTeams,tournament_matches_played,tournament_attendance,is_host_team,is_world_cup_winner
1998.0,South Africa,3,0,2,1,3.0,6.0,40100.0,1.0,2.0,0.0,0.0,55000.0,32650.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-40100.0,0.0,France,France,32,64,2785100,0,0
1998.0,Spain,3,1,1,1,8.0,4.0,34733.333333333336,0.0,3.0,0.0,1.0,0.0,34733.333333333336,38100.0,0.0,38100.0,4.0,0.3333333333333333,0.3333333333333333,0.0,0.0,3366.6666666666642,38100.0,France,France,32,64,2785100,0,0
1998.0,Tunisia,3,0,1,2,1.0,4.0,53933.333333333336,3.0,0.0,0.0,0.0,53933.333333333336,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-53933.333333333336,0.0,France,France,32,64,2785100,0,0
1998.0,USA,3,0,0,3,1.0,5.0,40033.333333333336,1.0,2.0,0.0,0.0,45500.0,37300.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,-40033.333333333336,0.0,France,France,32,64,2785100,0,0
1998.0,Yugoslavia,4,2,1,1,5.0,4.0,34425.0,3.0,1.0,1.0,1.0,35700.0,30600.0,33050.0,35500.0,30600.0,1.0,0.5,1.0,0.3333333333333333,0.6666666666666667,-1375.0,-4900.0,France,France,32,64,2785100,0,0
2002.0,Argentina,3,1,1,1,2.0,2.0,38584.666666666664,1.0,2.0,0.0,1.0,45777.0,34988.5,34050.0,0.0,34050.0,0.0,0.3333333333333333,0.5,0.0,0.5,-4534.666666666664,34050.0,Korea/Japan,Brazil,32,64,2705197,0,0
2002.0,Belgium,4,1,2,1,6.0,7.0,45509.0,3.0,1.0,0.0,1.0,45132.0,46640.0,46640.0,0.0,46640.0,-1.0,0.25,1.0,0.0,1.0,1131.0,46640.0,Korea/Japan,Brazil,32,64,2705197,0,0
2002.0,Brazil,7,7,0,0,18.0,4.0,46725.57142857143,3.0,4.0,3.0,4.0,51663.0,43022.5,46725.57142857143,51663.0,43022.5,14.0,1.0,1.0,1.0,0.0,0.0,-8640.5,Korea/Japan,Brazil,32,64,2705197,0,1
2002.0,Cameroon,3,1,1,1,2.0,3.0,44364.0,1.0,2.0,0.0,1.0,33679.0,49706.5,52328.0,0.0,52328.0,-1.0,0.3333333333333333,0.5,0.0,0.5,7964.0,52328.0,Korea/Japan,Brazil,32,64,2705197,0,0
2002.0,China PR,3,0,0,3,0.0,9.0,35857.333333333336,2.0,1.0,0.0,0.0,40177.5,27217.0,0.0,0.0,0.0,-9.0,0.0,0.0,0.0,0.0,-35857.333333333336,0.0,Korea/Japan,Brazil,32,64,2705197,0,0
2002.0,Costa Rica,3,1,1,1,5.0,6.0,36013.333333333336,1.0,2.0,1.0,0.0,27217.0,40411.5,27217.0,27217.0,0.0,-1.0,0.3333333333333333,0.0,1.0,-1.0,-8796.333333333336,-27217.0,Korea/Japan,Brazil,32,64,2705197,0,0
2002.0,Croatia,3,1,0,2,2.0,3.0,44857.666666666664,2.0,1.0,1.0,0.0,51167.0,32239.0,36472.0,36472.0,0.0,-1.0,0.3333333333333333,0.0,0.5,-0.5,-8385.666666666664,-36472.0,Korea/Japan,Brazil,32,64,2705197,0,0
2002.0,Denmark,4,2,1,1,5.0,5.0,40584.75,1.0,3.0,1.0,1.0,30157.0,44060.666666666664,39128.5,30157.0,48100.0,0.0,0.5,0.3333333333333333,1.0,-0.6666666666666667,-1456.25,17943.0,Korea/Japan,Brazil,32,64,2705197,0,0
2002.0,Ecuador,3,1,0,2,2.0,4.0,47517.666666666664,2.0,1.0,0.0,1.0,38345.5,65862.0,65862.0,0.0,65862.0,-2.0,0.3333333333333333,1.0,0.0,1.0,18344.333333333336,65862.0,Korea/Japan,Brazil,32,64,2705197,0,0
2002.0,England,5,2,2,1,6.0,3.0,44306.0,3.0,2.0,2.0,0.0,40457.666666666664,50078.5,38254.5,38254.5,0.0,3.0,0.4,0.0,0.6666666666666666,-0.6666666666666666,-6051.5,-38254.5,Korea/Japan,Brazil,32,64,2705197,0,0
2002.0,France,3,0,1,2,0.0,3.0,49650.0,1.0,2.0,0.0,0.0,48100.0,50425.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-49650.0,0.0,Korea/Japan,Brazil,32,64,2705197,0,0
2002.0,Germany,7,5,1,1,14.0,3.0,44565.0,1.0,6.0,1.0,4.0,47085.0,44145.0,41414.4,47085.0,39996.75,11.0,0.7142857142857143,0.6666666666666666,1.0,-0.33333333333333337,-3150.5999999999985,-7088.25,Korea/Japan,Brazil,32,64,2705197,0,0
2002.0,Italy,4,1,1,2,5.0,5.0,36358.0,2.0,2.0,0.0,1.0,38939.5,33776.5,31081.0,0.0,31081.0,0.0,0.25,0.5,0.0,0.5,-5277.0,31081.0,Korea/Japan,Brazil,32,64,2705197,0,0
2002.0,Japan,4,2,1,1,5.0,3.0,53060.75,1.0,3.0,1.0,1.0,45213.0,55676.666666666664,55660.5,45213.0,66108.0,2.0,0.5,0.3333333333333333,1.0,-0.6666666666666667,2599.75,20895.0,Korea/Japan,Brazil,32,64,2705197,0,0
2002.0,Korea Republic,7,3,2,2,8.0,6.0,52745.42857142857,3.0,4.0,1.0,2.0,52536.333333333336,52902.25,45862.333333333336,50239.0,43674.0,2.0,0.42857142857142855,0.5,0.3333333333333333,0.16666666666666669,-6883.095238095237,-6565.0,Korea/Japan,Brazil,32,64,2705197,0,0
2002.0,Mexico,4,2,1,1,4.0,4.0,38380.0,1.0,3.0,1.0,1.0,32239.0,40427.0,38924.5,32239.0,45610.0,0.0,0.5,0.3333333333333333,1.0,-0.6666666666666667,544.5,13371.0,Korea/Japan,Brazil,32,64,2705197,0,0
