Year,Datetime,Stage,Stadium,City,HomeTeamName,HomeTeamGoals,AwayTeamGoals,AwayTeamName,Winconditions,Attendance,HalftimeHomeGoals,HalftimeAwayGoals,Referee,Assistant1,Assistant2,RoundID,MatchID,HomeTeamInitials,AwayTeamInitials
1950,1950-07-13 15:00,Group 6,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro,Brazil,6,1,Spain,,152772,3,0,LEAFE REGINALD (ENG),MITCHELL GEORGE (SCO),DA COSTA VIEIRA JOSE (POR),209,1186,BRA,ESP
1950,1950-07-13 15:00,Group 6,Pacaembu,Sao Paulo,Uruguay,3,2,Sweden,,7987,1,2,GALEATI GIOVANNI (ITA),BERANEK ALOIS (AUT),DE NICOLA CAYETANO (PAR),209,1231,URU,SWE
1950,1950-07-16 15:00,Group 6,Pacaembu,Sao Paulo,Sweden,3,1,Spain,,11227,2,0,VAN DER MEER KAREL (NED),LUTZ JEAN (SUI),GARCIA PRUDENCIO (USA),209,1206,SWE,ESP
1950,1950-07-16 15:00,Group 6,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro,Uruguay,2,1,Brazil,,173850,0,0,READER GEORGE (ENG),ELLIS ARTHUR (ENG),MITCHELL GEORGE (SCO),209,1190,URU,BRA
1954,1954-06-16 18:00,Group 3,Wankdorf Stadium,Berne,Uruguay,2,0,Czechoslovakia,,20500,0,0,ELLIS ARTHUR (ENG),LING WILLIAM (ENG),SCHICKER WERNER (SUI),211,1315,URU,TCH
1954,1954-06-16 18:00,Group 3,Hardturm,Zurich,Austria,1,0,Scotland,,25000,1,0,FRANKEN LAURENT (BEL),VIANA MARIO (BRA),GULDE JOSEF (SUI),211,1236,AUT,SCO
1954,1954-06-16 18:00,Group 1,Charmilles,Geneva,Brazil,5,0,Mexico,,13470,4,0,WYSSLING PAUL (SUI),SCHONHOLZER ERNEST (SUI),DA COSTA VIEIRA JOSE (POR),211,1249,BRA,MEX
1954,1954-06-16 18:00,Group 1,La Pontaise,Lausanne,Yugoslavia,1,0,France,,16000,1,0,GRIFFITHS BENJAMIN (WAL),BAUMBERGER RENE (SUI),ASENSI MANUEL (ESP),211,1276,YUG,FRA
1954,1954-06-17 18:00,Group 2,Wankdorf Stadium,Berne,Germany FR,4,1,Turkey,,28000,1,1,DA COSTA VIEIRA JOSE (POR),ZSOLT ISTVAN (HUN),MERLOTTI ARMAND (SUI),211,1283,FRG,TUR
1954,1954-06-17 18:00,Group 2,Hardturm,Zurich,Hungary,9,0,Korea Republic,,13000,4,0,VINCENTI RAYMOND (FRA),VON GUNTER ALBERT (SUI),STEINER CARL (AUT),211,1294,HUN,KOR
